"" "" "" "" "" "" "ODR" "ERR" "EDR" "FDR" "FIT" "ODR" "ERR" "EDR" "FDR" "FIT"
"res.run" 35 0.3 0.4 0.3 0.518515019504456 0.768995298146231 0.51678 0.770376062006381 0.525457813700383 0.05 0.00628962886014818 0.51678 0.768217342359269 0.515655425601079 0.05 -32522.3580039935
"res.run" 36 0.3 0.5 0.2 0.471293039114448 0.696790925979135 0.47048 0.694061321267893 0.489366682990205 0.05 0.00636386923185327 0.47048 0.691232379136201 0.526164273470422 0.05 -27580.4843999162
"res.run" 37 0.3 0.6 0.1 0.423860539763151 0.608065591301394 0.42528 0.601372647247628 0.389956016345488 0.08 0.00637621655514887 0.42528 0.597526635123202 0.486488916932124 0.06 -21917.0740575478
"res.run" 38 0.3 0.7 0 0.376217521450564 0.496421594406426 0.37798 0.494998789533959 0.358878811220501 0.09 0.0119659490226887 0.37798 0.494309367384335 0.435351465527928 0.07 -13698.5630575592
"res.run" 39 0.4 0 0.6 0.612952325247317 0.949073369459682 0.60912 0.948172938188478 0.605768712299381 0.03 0.00692771411125738 0.60912 0.94553957441461 0.587873024335849 0.04 -38533.6516352683
"res.run" 40 0.4 0.1 0.5 0.566255885781063 0.9046754913962 0.55834 0.896587810570756 0.666456990097836 0.03 0.00689768735566429 0.55834 0.895653535340127 0.622486898475249 0.03 -35913.8265673724
"res.run" 41 0.4 0.2 0.4 0.519348927353519 0.852036245761804 0.51602 0.842870488548143 0.649259400237043 0.03 0.00534563086853652 0.51602 0.840464297622291 0.63748441245503 0.03 -33412.3710864831
"res.run" 42 0.4 0.3 0.3 0.472231449964685 0.788629377398907 0.46854 0.781764656217791 0.614262871333809 0.03 0.00647060623208672 0.46854 0.78094253969453 0.568807348549305 0.04 -29804.9299617495
"res.run" 43 0.4 0.4 0.2 0.424903453614563 0.710778581273423 0.4216 0.705228250625399 0.530731422371865 0.05 0.00809903957714013 0.4216 0.703973004651094 0.546061949754156 0.04 -25468.7065435707
"res.run" 44 0.4 0.5 0.1 0.377364938303151 0.612919022197066 0.3788 0.61484390709981 0.398147674485667 0.08 0.00828936806144843 0.3788 0.613508930654546 0.433998272639201 0.07 -19986.7595281091
"res.run" 45 0.4 0.6 0 0.32961590403045 0.486205967575789 0.33136 0.483904302730528 0.382995759567552 0.08 0.00994952809229045 0.33136 0.487204578565853 0.441223633470182 0.07 -11910.0471860607
"res.run" 46 0.5 0 0.5 0.520184052991401 0.934435564758177 0.51672 0.935692031658981 0.529913479592071 0.05 0.00706421274714719 0.51672 0.932795374648204 0.51244809155574 0.05 -32843.4101265994
"res.run" 47 0.5 0.1 0.4 0.473171078603743 0.879691014908996 0.46904 0.873682881405602 0.643063907773548 0.03 0.0062700832750091 0.46904 0.871368796209903 0.63102524831165 0.03 -30392.483804401
"res.run" 48 0.5 0.2 0.3 0.425947585254795 0.812530510476209 0.42216 0.811849078323176 0.450461707142266 0.06 0.00763254911488523 0.42216 0.810456915338352 0.424437746410954 0.07 -27037.2073730927
"res.run" 49 0.5 0.3 0.2 0.378513572944558 0.728194935661181 0.3761 0.728715407847588 0.393713419620898 0.08 0.00721623276591387 0.3761 0.731311506947049 0.355420347695236 0.1 -23246.7339292195
"res.run" 50 0.5 0.4 0.1 0.330869041673032 0.619136560401218 0.32654 0.613476640825599 0.353524986663466 0.1 0.00729059709747434 0.32654 0.610584447197875 0.420503595100317 0.07 -17726.2130554372
"res.run" 51 0.5 0.5 0 0.283013991440217 0.472625995360969 0.28642 0.472519465089281 0.256902391172782 0.15 0.0111792498635441 0.28642 0.475340208192463 0.291567518287924 0.13 -10141.2383999266
"res.run" 52 0.6 0 0.4 0.426992934683848 0.913327558601666 0.42118 0.915930373458538 0.533508074337255 0.05 0.00657257731108728 0.42118 0.915213206771737 0.471932492283303 0.06 -27037.6072233642
"res.run" 53 0.6 0.1 0.3 0.379663425374786 0.842259312256703 0.3714 0.828384145769419 0.506128066967041 0.05 0.00831852892455164 0.3714 0.828056716975537 0.463488415961194 0.06 -24092.8603646087
