"" "" "" "" "" "" "Estimate" "l.CI" "u.CI" "res.text" "2.5%" "97.5%" "" "" ""
"res.run" 41 0.4 0.2 0.4 0.519348927353519 0.852036245761804 0.843938694493568 0.80451148080811 0.888059696486499 0.919 0.878 0.959 0.95 0.946715299140518 0.950634957305023
"res.run" 42 0.4 0.3 0.3 0.472231449964685 0.788629377398907 0.785883687980637 0.74471436857632 0.827469895950421 0.793 0.739 0.845 0.92 0.915084278751374 0.920988596102762
"res.run" 43 0.4 0.4 0.2 0.424903453614563 0.710778581273423 0.711968046157849 0.670150413971117 0.755448997339079 0.633 0.59 0.681 0.86 0.860042014381729 0.869110288814823
"res.run" 44 0.4 0.5 0.1 0.377364938303151 0.612919022197066 0.613433296757954 0.569668828388908 0.657632244581526 0.448 0.4 0.49 0.74 0.73003251834858 0.745375110405274
"res.run" 45 0.4 0.6 0 0.32961590403045 0.486205967575789 0.478097840931485 0.434600240922881 0.522417445229587 0.329 0.268 0.442 0.47 0.461422370479648 0.484459944514634
"res.run" 46 0.5 0 0.5 0.520184052991401 0.934435564758177 0.936914090245723 0.901202303412279 0.974503317949968 0.98 0.945 1 0.97 0.97284154719439 0.974939817892702
"res.run" 47 0.5 0.1 0.4 0.473171078603743 0.879691014908996 0.875390242687924 0.836645670362405 0.917929322694142 0.951 0.915 0.985 0.96 0.957832336802413 0.961014326349914
"res.run" 48 0.5 0.2 0.3 0.425947585254795 0.812530510476209 0.809159498116087 0.767962889698005 0.854823284472719 0.85 0.799 0.901 0.93 0.932182830915788 0.937033432547922
"res.run" 49 0.5 0.3 0.2 0.378513572944558 0.728194935661181 0.725443668874577 0.682826201765459 0.769213286109913 0.658 0.615 0.707 0.88 0.874119133695682 0.882433332640789
"res.run" 50 0.5 0.4 0.1 0.330869041673032 0.619136560401218 0.608185299901977 0.566610096346488 0.656034922810787 0.466 0.417 0.512 0.76 0.747735061368474 0.762333264376871
"res.run" 51 0.5 0.5 0 0.283013991440217 0.472625995360969 0.471277447647731 0.42768643857068 0.515693014910211 0.325 0.238 0.419 0.47 0.457729678536437 0.480824464158592
"res.run" 52 0.6 0 0.4 0.426992934683848 0.913327558601666 0.910088901385336 0.873773343131142 0.950072218428244 0.975 0.94 1 0.97 0.969378379585234 0.971787087184017
"res.run" 53 0.6 0.1 0.3 0.379663425374786 0.842259312256703 0.842137731414506 0.802995886716436 0.883339901085075 0.919 0.878 0.959 0.95 0.949269604781753 0.953025036033572
"res.run" 54 0.6 0.2 0.2 0.332123397104434 0.750476763100281 0.753697019140594 0.713331344748433 0.799363584747466 0.719 0.665 0.774 0.9 0.898746530882135 0.905638705396007
"res.run" 55 0.6 0.3 0.1 0.284372849872794 0.627387333374512 0.636930296442188 0.58602143989157 0.679508041707017 0.51 0.464 0.554 0.78 0.777663025471053 0.790921283535515
"res.run" 56 0.6 0.4 0 0.236411783679864 0.453692069602697 0.454021824786068 0.411212614736603 0.503142688311377 0.288 0.187 0.354 0.45 0.439125338988248 0.462387842752722
"res.run" 57 0.7 0 0.3 0.333378970324657 0.880243088141005 0.875843818811922 0.839351919192843 0.916807199660188 0.959 0.923 0.993 0.96 0.961039737461104 0.964010094268781
"res.run" 58 0.7 0.1 0.2 0.285732926094191 0.77999393461412 0.775180202029053 0.734470491215091 0.820579922328542 0.793 0.738 0.849 0.93 0.924913343116334 0.930228950336324
"res.run" 59 0.7 0.2 0.1 0.237876362902436 0.638863642546512 0.628712049428267 0.585073241519549 0.681219181281089 0.537 0.491 0.581 0.81 0.799833196383135 0.812047932520954
"res.run" 60 0.7 0.3 0 0.189809280749392 0.425460574217787 0.433258590952124 0.383153049105032 0.482939505400637 0.166 0.111 0.247 0.42 0.407322250418659 0.430968099707544
"res.run" 61 0.8 0 0.2 0.239342159913828 0.820953729007103 0.825174039022974 0.784658008380143 0.8644856850045 0.905 0.855 0.949 0.95 0.94845149076965 0.952273461414754
"res.run" 62 0.8 0.1 0.1 0.191379580761959 0.655916514427495 0.645270241845278 0.603404131129452 0.690038219005171 0.604 0.561 0.646 0.85 0.8485660893927 0.858309718966947
"res.run" 63 0.8 0.2 0 0.1432064826488 0.378854440748491 0.362564867396135 0.318954853649508 0.41168174583188 0.109 0.071 0.15 0.36 0.343968826815862 0.367710305342348
"res.run" 64 0.9 0 0.1 0.144882503451362 0.683915070519926 0.696454769723293 0.655786292081833 0.737735166682889 0.683 0.645 0.721 0.9 0.899140956253472 0.906073088182803
"res.run" 65 0.9 0.1 0 0.0966033893780889 0.287280710777855 0.274706178796193 0.228225969548561 0.330995175854675 0.071 0.037 0.105 0.26 0.249355919566684 0.271629444210432
"res.run" 66 1 0 0 0.0500000009372583 0.0250000192384587 0.0541320565690499 0.025 0.0926853903982265 0.025 0.025 0.055 0.05 0.05 0.0524452303621789
